Disaster Subgroup,Disaster Type,Disaster Subgroup,Disaster Type,Origin,0
Biological,Epidemic,Biological,Epidemic,After flooding,1
Biological,Epidemic,Biological,Epidemic,"Basic infrastructure inefficient, water quality and sanitation poor",1
Geophysical,Volcanic activity,Geophysical,Volcanic activity,Earthquake,1
Geophysical,Volcanic activity,Geophysical,Volcanic activity,Seismic acitivities,1
Geophysical,Volcanic activity,Geophysical,Volcanic activity,Seismic activities,1
Geophysical,Earthquake,Geophysical,Earthquake,Earthquake,17
Geophysical,Earthquake,Geophysical,Earthquake,Earthquake and landslide,1
Geophysical,Earthquake,Geophysical,Earthquake,Landslide,1
Geophysical,Earthquake,Geophysical,Earthquake,Sub-marine volcano,1
Climatological,Drought,Climatological,Drought,El Nino,34
Climatological,Drought,Climatological,Drought,Lack of rain,15
Climatological,Drought,Climatological,Drought,Lack of rains,5
Climatological,Drought,Climatological,Drought,El NIno,4
Climatological,Wildfire,Climatological,Wildfire,Drought,4
Climatological,Wildfire,Climatological,Wildfire,Drought situation,2
Climatological,Wildfire,Climatological,Wildfire,Heat wave,2
Climatological,Wildfire,Climatological,Wildfire,High temperatures and dry conditions,2
Miscellaneous accident,Fire (Miscellaneous),Miscellaneous accident,Fire (Miscellaneous),Court circuit,2
Miscellaneous accident,Fire (Miscellaneous),Miscellaneous accident,Fire (Miscellaneous),Fireworks,2
Miscellaneous accident,Fire (Miscellaneous),Miscellaneous accident,Fire (Miscellaneous),Unknown,2
Miscellaneous accident,Fire (Miscellaneous),Miscellaneous accident,Fire (Miscellaneous),Deficient fridge and inflammable exterior coverage,1
Miscellaneous accident,Explosion (Miscellaneous),Miscellaneous accident,Explosion (Miscellaneous),Explosion of a gasoline truck,1
Miscellaneous accident,Explosion (Miscellaneous),Miscellaneous accident,Explosion (Miscellaneous),Fire,1
Miscellaneous accident,Explosion (Miscellaneous),Miscellaneous accident,Explosion (Miscellaneous),Unknown,1
Miscellaneous accident,Collapse (Miscellaneous),Miscellaneous accident,Collapse (Miscellaneous),Amunitions deport explosion,1
Miscellaneous accident,Collapse (Miscellaneous),Miscellaneous accident,Collapse (Miscellaneous),Bad weather,1
Miscellaneous accident,Collapse (Miscellaneous),Miscellaneous accident,Collapse (Miscellaneous),Construction defects,1
Miscellaneous accident,Collapse (Miscellaneous),Miscellaneous accident,Collapse (Miscellaneous),Earthquake,1
Miscellaneous accident,Miscellaneous accident (General),Miscellaneous accident,Miscellaneous accident (General),Hundreeds of people seeking shelter from rain in a train station,1
Miscellaneous accident,Miscellaneous accident (General),Miscellaneous accident,Miscellaneous accident (General),Water released from hydroelectric dam,1
Miscellaneous accident,Miscellaneous accident (General),Miscellaneous accident,Miscellaneous accident (General),Weather conditions,1
Transport,Water,Transport,Water,Bad weather,14
Transport,Water,Transport,Water,Storm,8
Transport,Water,Transport,Water,Overloaded boat,7
Transport,Water,Transport,Water,Overloading,7
Transport,Rail,Transport,Rail,High speed,2
Transport,Rail,Transport,Rail,Collapse of bridges,1
Transport,Rail,Transport,Rail,Collision between truck and train. Truck crossing the railtrack,1
Transport,Rail,Transport,Rail,"Collision between two trains, human error",1
Transport,Air,Transport,Air,Pilot error,2
Transport,Air,Transport,Air,Bad weather,1
Transport,Air,Transport,Air,"Bad weather, heavy rains",1
Transport,Air,Transport,Air,Collision,1
Transport,Road,Transport,Road,Bus,2
Transport,Road,Transport,Road,Broken brake,1
Transport,Road,Transport,Road,Bus collided with a truck and caught fire,1
Transport,Road,Transport,Road,"Bus fall from bridge, driver lost control",1
